"id","timestamp","owmtemperature","temperature","owmpressure","pressure","owmhumidity","humidity","sensorwindspeed","owmwindspeed","owmwinddegree","light","owmweathername","owmweatherdesc"
"44","2016-01-04 12:56:44","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"45","2016-01-04 12:57:14","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"46","2016-01-04 12:57:44","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"47","2016-01-04 12:58:14","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"48","2016-01-04 12:58:44","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"49","2016-01-04 12:59:14","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"50","2016-01-04 12:59:45","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"51","2016-01-04 13:00:15","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"52","2016-01-04 13:00:45","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"53","2016-01-04 13:01:15","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"54","2016-01-04 13:01:46","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"55","2016-01-04 13:02:16","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"56","2016-01-04 13:02:46","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"57","2016-01-04 13:03:16","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"58","2016-01-04 13:03:46","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"59","2016-01-04 13:04:16","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"60","2016-01-04 13:04:46","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
